Original,Furigana,English,Russian,JLPT Level
静的,せいてき,static,статический,N1
製鉄,せいてつ,iron manufacture,производство железа,N1
晴天,せいてん,fine weather,хорошая погода,N1
正当,せいとう,"just, due, proper","справедливый, должный, надлежащий",N1
制服,せいふく,uniform,униформа,N1
征服,せいふく,"conquest, subjugation, overcoming","завоевание, подчинение, преодоление",N1
製法,せいほう,"manufacturing method, recipe, formula","способ изготовления, рецепт, формула",N1
精密,せいみつ,"precise, exact, detailed, minute","точный, детальный, минутный",N1
税務署,ぜいむしょ,tax office,налоговая инспекция,N1
制約,せいやく,"limitation, constraints","ограничение, ограничения",N1
勢力,せいりょく,"influence, power, might, strength","влияние, власть, могущество, сила",N1
整列,せいれつ,"stand in a row, form a line","встать в ряд, построиться в линию",N1
セール,セール,sale,распродажа,N1
急かす,せかす,"to hurry, to urge on","торопиться, подгонять",N1
伜,せがれ,"son, my son","сын, мой сын",N1
責務,せきむ,"duty, obligation","долг, обязательство",N1
セクション,セクション,section,раздел,N1
世辞,せじ,"flattery, compliment","лесть, комплимент",N1
世帯,せたい,household,семья,N1
是正,ぜせい,"correction, revision","исправление, пересмотр",N1
世代,せだい,generation,поколение,N1
切開,せっかい,"opening up, cutting through","открываясь, прорезая",N1
セックス,セックス,sex,секс,N1
切実,せつじつ,"compelling, serious, severe, acute","убедительный, серьезный, суровый, острый",N1
接触,せっしょく,"touch, contact","прикосновение, контакт",N1
接続詞,せつぞくし,conjunction,соединение,N1
設置,せっち,"establishment, institution","заведение, учреждение",N1
折衷,せっちゅう,"compromise, cross, blending, eclecticism","компромисс, крест, смешение, эклектика",N1
設定,せってい,"establishment, creation","учреждение, создание",N1
説得,せっとく,persuasion,убеждение,N1
切ない,せつない,"painful, trying, sad","больно, трудно, грустно",N1
絶版,ぜっぱん,out of print,распродано,N1
設立,せつりつ,"establishment, foundation, institution","учреждение, фонд",N1
攻め,せめ,"attack, offense",нападение,N1
ゼリー,ゼリー,jelly,желе,N1
セレモニー,セレモニー,ceremony,церемония,N1
世論,せろん,public opinion,общественное мнение,N1
先,せん,"priority, precedence, previous","приоритет, предыдущий",N1
繊維,せんい,"fiber, fiber, textile","волокно, ткань",N1
全快,ぜんかい,complete recovery of health,полное восстановление здоровья,N1
宣教,せんきょう,religious mission,религиозная миссия,N1
宣言,せんげん,"declaration, proclamation, announcement","декларация, провозглашение, объявление",N1
戦災,せんさい,war damage,военный ущерб,N1
専修,せんしゅう,specialization,специализация,N1
戦術,せんじゅつ,tactics,тактика,N1
センス,センス,"sense (for music, style, tact, etc.)","чувство (к музыке, стилю, такту и т. д.)",N1
潜水,せんすい,diving,дайвинг,N1
全盛,ぜんせい,height of prosperity,Вершина процветания,N1
先代,せんだい,"family predecessor, previous age, previous generation","предшественник семьи, предыдущий возраст, предыдущее поколение",N1
先だって,せんだって,"recently, the other day","недавно, на днях",N1
先着,せんちゃく,first arrival,первое прибытие,N1
前提,ぜんてい,"preamble, premise, prerequisite","преамбула, предпосылка",N1
先天的,せんてんてき,"inherent, congenital, hereditary","врожденный, наследственный",N1
前途,ぜんと,"future prospects, outlook, the journey ahead","перспективы на будущее, перспективы, предстоящее путешествие",N1
戦闘,せんとう,"battle, fight, combat","битва, бой",N1
潜入,せんにゅう,"infiltration, sneaking in",проникновение,N1
船舶,せんぱく,ship,корабль,N1
全滅,ぜんめつ,annihilation,уничтожение,N1
専用,せんよう,"exclusive use, personal use","исключительное использование, личное использование",N1
占領,せんりょう,"occupation, possession, have a room to oneself","занятие, владение, иметь отдельную комнату",N1
善良,ぜんりょう,"goodness, excellence, virtue","доброта, превосходство, добродетель",N1
戦力,せんりょく,war potential,военный потенциал,N1
前例,ぜんれい,precedent,прецедент,N1
相応,そうおう,"suitability, fitness","пригодность, фитнес",N1
総会,そうかい,general meeting,общее собрание,N1
創刊,そうかん,"launching (e.g., newspaper, first issue)","запуск (например, газета, первый номер)",N1
雑木,ぞうき,"various kinds of small trees, assorted trees","различные виды небольших деревьев, разные деревья",N1
早急,そうきゅう,urgent,срочный,N1
早急,さっきゅう,urgent,срочный,N1
増強,ぞうきょう,"reinforce, increase","укрепить, увеличить",N1
送金,そうきん,"remittance, sending money","денежный перевод, отправка денег",N1
走行,そうこう,"running a wheeled vehicle (e.g., car, traveling)","управление колесным транспортным средством (например, автомобилем, путешествием)",N1
総合,そうごう,"synthesis, generalization","синтез, обобщение",N1
捜索,そうさく,"search (esp. for someone or something missing, investigation)","поиск (особенно пропажи кого-то или чего-то, расследование)",N1
蔵相,ぞうしょう,Minister of Finance,Министр финансов,N1
装飾,そうしょく,ornament,орнамент,N1
増進,ぞうしん,"promoting, increase, advance","продвижение, увеличение",N1
相対,そうたい,relative,родственник,N1
壮大,そうだい,"magnificent, grand, majestic","великолепный, грандиозный, величественный",N1
騒動,そうどう,"strife, riot, rebellion","раздор, бунт",N1
遭難,そうなん,"disaster, shipwreck, accident","катастрофа, кораблекрушение, авария",N1
相場,そうば,"market price, speculation, estimation","рыночная цена, спекуляция, оценка",N1
装備,そうび,equipment,оборудование,N1
創立,そうりつ,"establishment, founding","учреждение, основание",N1
添える,そえる,"to add to, to attach, to accompany","добавить, присоединить, сопровождать",N1
ソース,ソース,source,источник,N1
即座に,そくざに,"immediately, right away","немедленно, сразу",N1
促進,そくしん,"promotion, acceleration, encouragement","продвижение, ускорение, поощрение",N1
即する,そくする,"to conform to, to agree with, to be adapted to,","соответствовать, соглашаться, приспосабливаться",N1
束縛,そくばく,"restraint, restriction, confinement","ограничение, заключение",N1
側面,そくめん,"side, sidelight, lateral",боковой,N1
損う,そこなう,"to harm, to hurt","причинить вред, ранить",N1
そこら,そこら,"everywhere, somewhere","везде, где-то",N1
素材,そざい,"raw materials, subject matter","сырье, предмет",N1
阻止,そし,"obstruction, check, hindrance","препятствие, проверка, помеха",N1
訴訟,そしょう,"litigation, lawsuit","судебный процесс, иск",N1
育ち,そだち,"breeding, growth","размножение, рост",N1
措置,そち,"measure, step","мера, шаг",N1
ソックス,ソックス,socks,носки,N1
素っ気無い,そっけない,"cold, short, curt, blunt","холодный, короткий, краткий, резкий",N1
外方,そっぽ,look (or turn) the other way,посмотреть (или повернуть) в другую сторону,N1
備え付ける,そなえつける,"to provide, to equip, to install","обеспечить, оборудовать, установить",N1
備わる,そなわる,to be furnished with,быть обставленным,N1
具わる,そなわる,to be furnished with,быть обставленным,N1
聳える,そびえる,"to rise, to tower, to soar","подниматься, возвышаться, парить",N1
素朴,そぼく,"simplicity, artlessness, naivety","простота, безыскусственность, наивность",N1
背く,そむく,"to run counter to, to go against","идти вразрез, идти против",N1
染まる,そまる,to be dyed,быть окрашенным,N1
染める,そめる,"to dye, to color","красить, окрашивать",N1
そらす,そらす,"to bend, to warp","сгибать, деформировать",N1
そり (～にのる),そり (～にのる),"sleigh, sled","сани, санки",N1
反る,そる,"to warp, to be warped, to curve","деформироваться, искривляться",N1
それゆえ,それゆえ,"therefore, for that reason, so","поэтому, по этой причине, так",N1
ソロ,ソロ,solo,соло,N1
揃い,そろい,"set, suit, uniform","комплект, костюм, униформа",N1
ぞんざい,ぞんざい,"rude, careless, slovenly","грубый, небрежный, неряшливый",N1
損失,そんしつ,loss,потеря,N1
存続,そんぞく,"duration, continuance","продолжительность, продолжение",N1
ダース,ダース,dozen,дюжина,N1
対応,たいおう,dealing with,иметь дело с,N1
大家,たいか,"rich family, distinguished family","богатая семья, знатная семья",N1
退化,たいか,"degeneration, retrogression","вырождение, регресс",N1
大概,たいがい,"in general, mainly","вообще, в основном",N1
体格,たいかく,"physique, constitution","телосложение, конституция",N1
大金,たいきん,large amount of money,большая сумма денег,N1
待遇,たいぐう,"treatment, reception","лечение, прием",N1
対決,たいけつ,"confrontation, showdown","противостояние, разборки",N1
体験,たいけん,personal experience,личный опыт,N1
対抗,たいこう,"opposition, antagonism","оппозиция, антагонизм",N1
退治,たいじ,extermination,истребление,N1
大衆,たいしゅう,general public,широкая публика,N1
対処,たいしょ,"deal with, cope",справиться,N1
退職,たいしょく,retirement (from office),выход на пенсию (с должности),N1
題する,だいする,to title,назвать,N1
態勢,たいせい,"attitude, conditions, tendency","отношение, условия, тенденция",N1
対談,たいだん,"talk, dialogue","разговор, диалог",N1
大胆,だいたん,"bold, daring, audacious","смелый, дерзкий",N1
対等,たいとう,equivalent,эквивалент,N1
台無し,だいなし,"mess, spoiled, (come to) nothing","беспорядок, испорченный, (прийти) ни к чему",N1
滞納,たいのう,"non-payment, default","неплатеж, невыполнение обязательств",N1
対比,たいひ,"contrast, comparison","контраст, сравнение",N1
タイピスト,タイピスト,typist,машинистка,N1
大部,たいぶ,"most (e.g., most part, greater, fairly, a good deal, much)","большинство (например, большая часть, больше, справедливо, много, много)",N1
大便,だいべん,feces,фекалии,N1
代弁,だいべん,speak for another,говорить за другого,N1
待望,たいぼう,"long-expected, waiting","долгожданный, жду",N1
台本,だいほん,"libretto, scenario","либретто, сценарий",N1
タイマー,タイマー,timer,таймер,N1
怠慢,たいまん,"negligence, carelessness",небрежность,N1
タイミング,タイミング,timing,время,N1
タイム,タイム,time,время,N1
タイムリー,タイムリー,"timely, run-batted-in (baseball), RBI","своевременный, забитый (бейсбол), RBI",N1
対面,たいめん,"interview, meeting","интервью, встреча",N1
代用,だいよう,substitution,замена,N1
体力,たいりょく,physical strength,физическая сила,N1
タイル,タイル,tile,плитка,N1
対話,たいわ,"conversation, dialogue","разговор, диалог",N1
耐える,たえる,"to endure, to put up with","терпеть, мириться",N1
堪える,たえる,"to endure, to put up with","терпеть, мириться",N1
絶える,たえる,"to die out, to become extinct",вымереть,N1
断える,たえる,"to cease, to become extinct","прекратиться, вымереть",N1
打開,だかい,"solution, breakthrough","решение, прорыв",N1
焚火,たきび,(open) fire,(открытый) огонь,N1
妥協,だきょう,"compromise, giving in","компромисс, уступка",N1
たくましい,たくましい,"burly, strong, sturdy","крепкий, сильный",N1
巧み,たくみ,"skill, cleverness","умение, сообразительность",N1
丈,たけ,"length, height","длина, высота",N1
打撃,だげき,"blow, damage; batting (baseball)","удар, повреждение; ватин (бейсбол)",N1
妥結,だけつ,agreement,соглашение,N1
駄作,ださく,poor work,плохая работа,N1
足し算,たしざん,addition,добавление,N1
多数決,たすうけつ,majority rule,правило большинства,N1
助け,たすけ,assistance,помощь,N1
携わる,たずさわる,"to engage, to involve",вовлекать,N1
漂う,ただよう,"to drift about, to float, to hang in air","дрейфовать, плавать, висеть в воздухе",N1
立ち去る,たちさる,"to leave, to depart",уйти,N1
立ち寄る,たちよる,"to stop by, to drop in for a short visit","зайти, зайти ненадолго в гости",N1
抱っこ,だっこ,(child's) hug,(детские) объятия,N1
達者,たっしゃ,"skillful, in good health","умелый, здоровый",N1
脱出,だっしゅつ,escape,побег,N1
脱する,だっする,"to escape from, to get out","убежать, выбраться",N1
達成,たっせい,achievement,достижение,N1
脱退,だったい,"secession, withdrawal","отделение, уход",N1
だったら,だったら,if it's the case,если это так,N1
立て替える,たてかえる,"to pay in advance, to pay for another","платить вперед, платить за другого",N1
建前,たてまえ,position; stance one takes in public; principle,"позиция; позиция, которую человек занимает публично; принцип",N1
奉る,たてまつる,"to offer, to do respectfully","предлагать, делать уважительно",N1
だと,だと,if it's the case,если это так,N1
他動詞,たどうし,transitive verb (direct object),переходный глагол (прямой объект),N1
辿り着く,たどりつく,"to reach, to make it somehow","добраться, сделать это как-нибудь",N1
辿る,たどる,"to follow (road, to pursue (course), to follow up","следовать (дороге, следовать (курсу), следовать",N1
束ねる,たばねる,"to tie up in a bundle, to control","связать в узел, контролировать",N1
だぶだぶ,だぶだぶ,"loose, baggy","свободный, мешковатый",N1
他方,たほう,"another side, on the other hand","другая сторона, с другой стороны",N1
多忙,たぼう,busy,занятый,N1
給う,たまう,"to receive, to grant","получать, предоставлять",N1
魂,たましい,"soul, spirit","душа, дух",N1
溜まり,たまり,"collected things, gathering place, arrears","собранные вещи, место сбора, задолженность",N1
賜る,たまわる,"to grant, to bestow","даровать, одаривать",N1
保つ,たもつ,"to keep, to preserve, to sustain","сохранять, поддерживать",N1
たやすい,たやすい,"easy, simple, light","легкий, простой",N1
多様,たよう,"diversity, variety",разнообразие,N1
だるい,だるい,"sluggish, feel heavy (tired), languid","вялый, чувствую себя тяжелым (усталым), вялым",N1
弛み,たるみ,"slack, slackening","слабина, ослабление",N1
弛む,たるむ,"to slacken, to loosen, to relax","ослабить, расслабиться",N1
垂れる,たれる,"to hang, to droop; to drip","висеть, свисать; капать",N1
タレント,タレント,"talent, star, personality","талант, звезда, личность",N1
タワー,タワー,tower,башня,N1
単一,たんいつ,"single, simple, sole","одиночный, простой, единственный",N1
短歌,たんか,31-syllable Japanese poem,31-сложное японское стихотворение,N1
担架,たんか,"stretcher, litter","носилки, мусор",N1
短気,たんき,quick temper,вспыльчивость,N1
団結,だんけつ,"unity, union, solidarity","единство, союз, солидарность",N1
探検,たんけん,"exploration, expedition","разведка, экспедиция",N1
断言,だんげん,"assertion, declaration, affirmation","утверждение, декларация",N1
短縮,たんしゅく,"shortening, abbreviation, reduction","сокращение, аббревиатура",N1
断然,だんぜん,"firmly, absolutely, definitely","твердо, абсолютно, определенно",N1
炭素,たんそ,carbon (C),углерод (С),N1
短大,たんだい,junior college,младший колледж,N1
単調,たんちょう,"monotony, monotone, dullness","монотонность, унылость",N1
単独,たんどく,"sole, single","единственный, одиночный",N1
旦那,だんな,"master (of house), husband (informal)","хозяин (дома), муж (неформальный)",N1
短波,たんぱ,short wave,короткая волна,N1
蛋白質,たんぱくしつ,protein,белок,N1
ダンプ,ダンプ,dump truck,самосвал,N1
断面,だんめん,cross section,поперечное сечение,N1
弾力,だんりょく,"elasticity, flexibility","эластичность, гибкость",N1
治安,ちあん,"public order, security","общественный порядок, безопасность",N1
チームワーク,チームワーク,teamwork,работа в команде,N1
チェンジ,チェンジ,change,изменять,N1
違える,ちがえる,to change,изменить,N1
畜産,ちくさん,animal husbandry,животноводство,N1
畜生,ちくしょう,"beast, brute, damn","зверь, скотина, черт",N1
蓄積,ちくせき,"accumulation, accumulate, store","накопление, хранение",N1
地形,ちけい,"landform, geographical features, topography","форма рельефа, географические особенности, топография",N1
知性,ちせい,intelligence,интеллект,N1
乳,ちち,"milk, breast, loop","молоко, грудь, петля",N1
縮まる,ちぢまる,"to be shortened, to be contracted, to shrink","сокращаться, сжиматься",N1
秩序,ちつじょ,"order, regularity","порядок, регулярность",N1
窒息,ちっそく,suffocation,удушье,N1
知的,ちてき,intellectual,интеллектуальный,N1
着手,ちゃくしゅ,"embarkation, launch","посадка, запуск",N1
着色,ちゃくしょく,"coloring, coloring","раскраска, окраска",N1
着席,ちゃくせき,"sit down, seat","садись, сядь",N1
着目,ちゃくもく,attention,внимание,N1
着陸,ちゃくりく,"landing, touch down",приземление,N1
着工,ちゃっこう,start of (construction) work,начало (строительных) работ,N1
茶の間,ちゃのま,living room (Japanese style),гостиная (японский стиль),N1
茶の湯,ちゃのゆ,tea ceremony,чайная церемония,N1
ちやほや,ちやほや,"pamper, make a fuss of, spoil","баловать, суетиться, портить",N1
チャンネル,チャンネル,a channel,канал,N1
宙返り,ちゅうがえり,"somersault, looping-the-loop","сальто, петля",N1
中継,ちゅうけい,"relay, hook-up","реле, подключение",N1
忠告,ちゅうこく,"advice, warning","совет, предупреждение",N1
中傷,ちゅうしょう,"slander, libel, defamation",клевета,N1
中枢,ちゅうすう,"center, mainstay, nucleus","центр, опора, ядро",N1
抽選,ちゅうせん,"lottery, raffle, drawing (of lots)","лотерея, розыгрыш (лотереи)",N1
中断,ちゅうだん,"interruption, suspension, break","перерыв, приостановка",N1
中毒,ちゅうどく,poisoning,отравление,N1
中腹,ちゅうふく,"mountain side, halfway up","склон горы, на полпути вверх",N1
中立,ちゅうりつ,neutrality,нейтралитет,N1
中和,ちゅうわ,"neutralize, counteract","нейтрализовать, противодействовать",N1
～著,～ちょ,written by ~,автор ~,N1
腸,ちょう,"bowels, intestines",кишечник,N1
蝶,ちょう,butterfly,бабочка,N1
超,ちょう,"super-, ultra-, hyper-","супер-, ультра-, гипер-",N1
調印,ちょういん,"signature, sign, sealing","подпись, печать",N1
聴覚,ちょうかく,the sense of hearing,чувство слуха,N1
長官,ちょうかん,"chief, (government) secretary","главный, (правительственный) секретарь",N1
聴講,ちょうこう,"lecture attendance, auditing","посещение лекций, аудит",N1
徴収,ちょうしゅう,"collection, levy",сбор,N1
聴診器,ちょうしんき,stethoscope,стетоскоп,N1
調停,ちょうてい,"arbitration, conciliation, mediation","арбитраж, примирение, посредничество",N1
重複,ちょうふく,"duplication, repetition, overlapping, redundancy, restoration","дублирование, повторение, перекрытие, избыточность, восстановление",N1
長編,ちょうへん,"long (e.g., novel, film)","длинный (например, роман, фильм)",N1
重宝,ちょうほう,"convenient, useful","удобный, полезный",N1
調理,ちょうり,cooking,приготовление пищи,N1
調和,ちょうわ,harmony,гармония,N1
ちょくちょく,ちょくちょく,"often, frequently, now and then, occasionally","часто, время от времени, изредка",N1
直面,ちょくめん,confrontation,конфронтация,N1
著書,ちょしょ,"literary work, book","литературное произведение, книга",N1
貯蓄,ちょちく,savings,сбережения,N1
直感,ちょっかん,"intuition, instinct","интуиция, инстинкт",N1
著名,ちょめい,"well-known, noted, celebrated","известный, отмеченный, прославленный",N1
ちらっと,ちらっと,"at a glance, by accident","с первого взгляда, случайно",N1
塵,ちり,"dust, dirt","пыль, грязь",N1
塵取り,ちりとり,dustpan,совок,N1
賃金,ちんぎん,wages,заработная плата,N1
沈殿,ちんでん,"precipitation, deposition, settlement","осадки, отложения, расселение",N1
沈没,ちんぼつ,"sinking, foundering",тонущий,N1
沈黙,ちんもく,"silence, reticence","молчание, сдержанность",N1
陳列,ちんれつ,"exhibition, display, show","выставка, показ, шоу",N1
追及,ついきゅう,"investigation, inquiry","расследование, дознание",N1
追跡,ついせき,pursuit,преследование,N1
追放,ついほう,"exile, banishment",изгнание,N1
費やす,ついやす,"to spend, to devote, to waste","тратить, посвящать, тратить впустую",N1
墜落,ついらく,"falling, crashing","падение, разбивание",N1
痛感,つうかん,"feeling keenly, fully realizing","остро чувствуя, полностью осознавая",N1
通常,つうじょう,"common, normal, usual","обычный, нормальный",N1
痛切,つうせつ,"keen, deep","острый, глубокий",N1
杖,つえ,cane,трость,N1
使い道,つかいみち,use,использовать,N1
仕える,つかえる,"to serve, to work for","служить, работать на",N1
司る,つかさどる,"to rule, to govern, to administer","править, управлять",N1
つかの間,つかのま,"moment, brief time,","момент, короткое время",N1
月並,つきなみ,"conventional, trite, common","обычный, банальный, общий",N1
継目,つぎめ,"joint, seam","стык, шов",N1
尽きる,つきる,"to be used up, to be run out","быть израсходованным, исчерпанным",N1
尽くす,つくす,"to exhaust, to run out; to devote, to serve","истощаться, иссякать; посвящать, служить",N1
つくづく,つくづく,"completely, really","полностью, действительно",N1
作り,つくり,"make up, structure, physique","макияж, строение, телосложение",N1
造り,つくり,"make up, structure, physique","макияж, строение, телосложение",N1
繕う,つくろう,"to mend, to repair",починить,N1
付け加える,つけくわえる,to add one thing to another,добавить одно к другому,N1
告げる,つげる,to inform,информировать,N1
つじつま (はなしの～),つじつま (はなしの～),"coherence, consistency","согласованность, последовательность",N1
筒,つつ,"pipe, tube","труба, трубка",N1
突く,つつく,"to thrust, to strike, to attack; to poke, to nudge, to pick at","колоть, ударять, атаковать; тыкать, подталкивать, ковырять",N1
突っ突く,つっつく,to prompt someone,подсказать кому-либо,N1
謹む,つつしむ,"to be careful, to be chaste or discreet","быть осторожным, быть целомудренным или благоразумным",N1
突っ張る,つっぱる,"to support, to become stiff; to thrust (ones opponent), to stick to (ones opinion), to insist on","поддерживать, становиться жестким; навязывать (своему оппоненту), придерживаться (своего мнения), настаивать на",N1
務まる,つとまる,"be equal, be fit","быть равным, быть в форме",N1
勤め先,つとめさき,place of work,место работы,N1
努めて,つとめて,"make an effort!, work hard!","старайся!, работай!",N1
津波,つなみ,"tsunami, tidal wave","цунами, приливная волна",N1
つねる,つねる,to pinch,ущипнуть,N1
角,つの,horn,рог,N1
募る,つのる,"to invite, to solicit help, participation, etc","приглашать, требовать помощи, участия и т. д.",N1
唾,つば,"saliva, spit, sputum","слюна, мокрота",N1
呟く,つぶやく,"to mutter, to murmur",бормотать,N1
つぶら,つぶら,"round, rotund",круглый,N1
つぶる (めを～),つぶる (めを～),to close the eyes,закрыть глаза,N1
壷,つぼ,"jar, pot, vase","кувшин, горшок, ваза",N1
蕾,つぼみ,"bud, flower bud","бутон, бутон цветка",N1
連なる,つらなる,"to extend, to stretch out, to stand in a row","вытягиваться, стоять в ряд",N1
貫く,つらぬく,to go through,пройти,N1
連ねる,つらねる,"to link, to join, to put together","связать, соединить, собрать воедино",N1
釣り鐘,つりがね,temple bell (for striking),храмовый колокол (для ударов),N1
吊り革,つりかわ,strap,ремень,N1
手当,てあて,"allowance, compensation; treatment","пособие, компенсация; уход",N1
定義,ていぎ,definition,определение,N1
提供,ていきょう,"offer, program sponsoring","предложение, спонсорство программы",N1
提携,ていけい,"cooperation, tie-up, joint business","сотрудничество, связь, совместный бизнес",N1
体裁,ていさい,"decency, style, form, appearance","порядочность, стиль, форма, внешний вид",N1
提示,ていじ,"presentation, exhibit, suggest, citation","презентация, выставка, предложение, цитирование",N1
ティシュペーパー,ティシュペーパー,tissue,салфетка,N1
定食,ていしょく,"fixed-price lunch, set meal, dinner","обед по фиксированной цене, комплексное питание, ужин",N1
訂正,ていせい,"correction, revision","исправление, пересмотр",N1
停滞,ていたい,"stagnation, tie-up, congestion, retention","застой, затор, удержание",N1
邸宅,ていたく,"mansion, residence","особняк, резиденция",N1
定年,ていねん,retirement age,пенсионный возраст,N1
堤防,ていぼう,"bank, weir","банк, плотина",N1
手遅れ,ておくれ,being (too); belated treatment,бытие (тоже); запоздалое лечение,N1
でかい,でかい,huge,огромный,N1
手掛かり,てがかり,"hint, clue, key","подсказка, ключ",N1
手掛ける,てがける,"to handle, to manage, to work with","обращаться, управлять, работать с",N1
手数,てかず,"trouble, labor, handling","хлопоты, труд, обработка",N1
手軽,てがる,"easy, simple, cheap","легко, просто, дешево",N1
適応,てきおう,"adaptation, accommodation, conformity","адаптация, приспособление, соответствие",N1
適宜,てきぎ,suitability,пригодность,N1
適性,てきせい,aptitude,способности,N1
できもの,できもの,"boil, rash","фурункул, сыпь",N1
手際,てぎわ,"performance, skill, tact","работоспособность, мастерство, такт",N1
出くわす,でくわす,"to happen to meet, to come across","случайно встретиться, встретиться",N1
手順,てじゅん,"process, procedure, protocol","процесс, процедура, протокол",N1
手錠,てじょう,"handcuffs, manacles","наручники, кандалы",N1
手数,てすう,"trouble, labor, handling","хлопоты, труд, обработка",N1
デコレーション,デコレーション,decoration,украшение,N1
手近,てぢか,"near, handy, familiar","близкий, удобный, знакомый",N1
てっきり,てっきり,"surely, certainly, beyond doubt","конечно, несомненно, вне всякого сомнения",N1
鉄鋼,てっこう,iron and steel,железо и сталь,N1
デッサン,デッサン,rough sketch (FRE: dessin),черновой набросок (FRE: dessin),N1
徹する,てっする,"to devote oneself, to believe in","посвятить себя, поверить в",N1
てっぺん,てっぺん,"top, summit, apex",вершина,N1
鉄棒,てつぼう,"iron rod, crowbar, horizontal bar (gymnastics)","железный прут, лом, турник (гимнастика)",N1
出直し,でなおし,"adjustment, touch up","регулировка, подкраска",N1
掌,てのひら,the palm,пальма,N1
手配,てはい,"arrangement, search (by police)","расположение, обыск (полицией)",N1
手筈,てはず,"arrangement, plan, program","расположение, план, программа",N1
手引,てびき,"guidance, guide, introduction","руководство, введение",N1
手本,てほん,"model, pattern","модель, узор",N1
手回し,てまわし,"preparations, arrangements",приготовления,N1
手元,てもと,"(money) on hand or at home, one's purse; usual skill","(деньги) на руках или дома, в кошельке; обычный навык",N1
デモンストレーション,デモンストレーション,demonstration,демонстрация,N1
照り返す,てりかえす,"to reflect, to throw back light","отражать, отбрасывать свет",N1
テレックス,テレックス,"telex, teletypewriter exchange","телекс, обмен телетайпами",N1
手分け,てわけ,division of labor,разделение труда,N1
天,てん,"heaven, sky","рай, небо",N1
田園,でんえん,"country, rural districts","страна, сельские округа",N1
天下,てんか,"the world, whole country","мир, вся страна",N1
転回,てんかい,"revolution, rotation","революция, вращение",N1
連休,れんきゅう,consecutive holidays,выходные подряд,N1
レンジ,レンジ,"range, stove",плита,N1
連日,れんじつ,every day,каждый день,N1
連帯,れんたい,solidarity,солидарность,N1
レンタカー,レンタカー,rented car,арендованный автомобиль,N1
連中,れんちゅう,"colleagues, company, a lot","коллеги, компания, много",N1
レントゲン,レントゲン,X-ray (lit: Roentgen),Рентгеновский снимок (буквально: Рентген),N1
連邦,れんぽう,"commonwealth, federation of states","Содружество, федерация штатов",N1
連盟,れんめい,"league, union, alliance","лига, союз, альянс",N1
老衰,ろうすい,"senility, senile decay","старческое старение, старческий упадок",N1
朗読,ろうどく,"reading aloud, recitation","чтение вслух, декламация",N1
浪費,ろうひ,"waste, extravagance","расточительство, расточительность",N1
労力,ろうりょく,"labor, effort, trouble","труд, усилия, хлопоты",N1
ロープウエイ,ロープウエイ,"ropeway, aerial tram",канатная дорога,N1
ロープ,ロープ,rope,веревка,N1
ろくな,ろくな,"satisfactory, decent","удовлетворительный, достойный",N1
露骨,ろこつ,"blunt, outspoken; conspicuous; broad, suggestive","резкий, откровенный; заметный; широкий, многозначительный",N1
ロマンチック,ロマンチック,romantic,романтический,N1
論議,ろんぎ,discussion,обсуждение,N1
論理,ろんり,logic,логика,N1
惑星,わくせい,planet,планета,N1
技,わざ,"art, technique","искусство, техника",N1
わざわざ,わざわざ,"take the trouble (to do), doing something especially rather than incidentally","потрудиться (сделать), сделать что-то специально, а не случайно",N1
煩わしい,わずらわしい,"burdensome, troublesome, complicated","обременительный, хлопотный, сложный",N1
渡り鳥,わたりどり,"migratory bird, bird of passage",перелетная птица,N1
ワット,ワット,watt,ватт,N1
詫び,わび,apology,извинение,N1
和文,わぶん,"Japanese text, sentence in Japanese","Текст на японском языке, предложение на японском языке",N1
藁,わら,straw,солома,N1
～割,～わり,~ percent,~ процентов,N1
割当,わりあて,"allotment, allocation, quota","выделение, распределение, квота",N1
割込む,わりこむ,"to cut in, to disturb","врезаться, беспокоить",N1
悪者,わるもの,"bad fellow, rascal",негодяй,N1
我,われ,"me, oneself, self, ego","я, сам, эго",N1
捗る,はかどる,"to make progress, to move right ahead (with the work), to advance","добиваться прогресса, двигаться вперед (в работе), продвигаться вперед",N1
はかない,はかない,"short-lived, momentary, ephemeral","кратковременный, сиюминутный, эфемерный",N1
ばかばかしい,ばかばかしい,stupid,глупый,N1
破棄,はき,"revocation, annulment, breaking (e.g., treaty)","отзыв, аннулирование, нарушение (например, договора)",N1
剥ぐ,はぐ,"to tear off, to peel off, to rip off","отодрать, отдраить, содрать",N1
迫害,はくがい,persecution,преследование,N1
薄弱,はくじゃく,"feebleness, weakness, weak","слабость, слабый",N1
白状,はくじょう,confession,признание,N1
漠然,ばくぜん,"obscure, vague, equivocal","неясный, двусмысленный",N1
爆弾,ばくだん,bomb,бомбить,N1
爆破,ばくは,"blast, explosion, blow up","взрыв, взорвать",N1
暴露,ばくろ,"disclosure, exposure, revelation","раскрытие, разоблачение",N1
励ます,はげます,"to encourage, to cheer, to raise (the voice)","поощрять, подбадривать, повышать (голос)",N1
励む,はげむ,"to be zealous, to make an effort","усердствовать, прилагать усилия",N1
剥げる,はげる,"to come off, to be worn off, to fade, to discolor","стереться, потускнеть, обесцвечиться",N1
化ける,ばける,"to disguise, to take the form of","замаскироваться, принять форму",N1
派遣,はけん,"dispatch, send",отправить,N1
恥,はじ,"shame, embarrassment","стыд, смущение",N1
弾く,はじく,"to play (piano, guitar)","играть (фортепиано, гитара)",N1
